"year","inflation.Year","inflation.Forecast","rf_1y","severity_trend_factor.Year","severity_trend_factor.Forecast","discount_factor","trended_pure_premium.Year","trended_pure_premium.Forecast","trended_technical_premium.Year","trended_technical_premium.Forecast","pv_trended_technical_premium.Year","pv_trended_technical_premium.Forecast"
2175,2181,0.0212188672223312,0.0476661523947709,2182,1.02121886722233,0.954502536627899,5783986465618,2707019297.18044,7497760233208.52,3509099088.9376,7156631161625.32,3349443981.66959
2176,2182,0.0185319978553766,0.0479259363684891,4763306,1.04014409307957,0.910849234188876,12626442454444094,2757185772.99025,16367610589094194,3574129705.7281,14908425570578184,3255493305.35415
2177,2183,0.0158451284884221,0.0481857203422073,10403060304,1.05662530988088,0.868976953713418,27576150320505901056,2800873735.82973,35746861526581719040,3630762250.14964,31063198834184359936,3155048719.79271
2178,2184,0.0131582591214675,0.0484455043159255,22730686764240,1.0705286595026,0.828824149787733,6.02538884503054e+22,2837728358.21229,7.81068924355811e+22,3678536760.64556,6.47368787154824e+22,3048860103.10497
2179,2185,0.010471389754513,0.0487052882896437,49689281266628640,1.08173858233963,0.790330857527648,1.31715000152368e+26,2867443317.86856,1.7074166686418e+26,3717056152.79258,1.34942407988467e+26,2937704176.71498
2180,2186,0.00778452038755845,0.0489650722633618,1.08670458130117e+20,1.09015939838786,0.753438678203406,2.88060705333228e+29,2889764988.83668,3.73412025431962e+29,3745991652.19569,2.81343062866714e+29,2822374998.99132
2181,2187,0.00509765102060391,0.04922485623708,2.37770962388696e+23,1.09571665055767,0.71809076360002,6.30276823269103e+32,2904496002.28133,8.17025511645133e+32,3765087410.36468,5.86698473537951e+32,2703674493.5296
2182,2188,0.00241078165364937,0.0494846402107982,5.20480636668855e+26,1.09835818415643,0.684231799196018,1.37967596613607e+36,2911498107.95672,1.7884688449912e+36,3774164214.01798,1.22372725561435e+36,2582403170.61874
2183,2189,-0.00027608771330517,0.0497444241845164,1.13985259430479e+30,1.09805494095698,0.651807986241562,3.02149036583798e+39,2910694279.10181,3.91674677053072e+39,3773122213.65049,2.55296682511777e+39,2459351191.92283
2184,2190,-0.00296295708025971,0.0500042081582345,2.4974170341218e+33,1.09480145129516,0.620767022814955,6.62008539155102e+42,2902070016.87907,8.58159217423281e+42,3761942614.47287,5.32716942501062e+42,2335289916.78703
