"metric","value"
"records_frequency",119314
"records_severity",26991
"total_exposure",59680.5754732281
"expected_claim_count_portfolio",49440.5885852193
"var_claim_count_portfolio",216073.803762746
"theta_model",0.14881705054064
"theta_effective",14669.1750324132
"sev_shape",0.697820176896018
"sev_scale",11983024.9005355
"mean_severity",8361996.55584106
"expected_annual_cost",413430638181.031
"annual_pure_premium",413430638181.031
"annual_technical_premium",689051063635.052
"pure_premium_rate_per_exposure",6927390.27569348
"technical_premium_rate_per_exposure",11545650.4594891
"expense_ratio",0.3
"profit_ratio",0.07
"risk_ratio",0.05
"tail_threshold_95",44781147
"tail_probability",0.0500166722240747
"gpd_shape",0.214965660299185
"gpd_scale",32130474.6485718
"gold_platinum_severity_share",0.963868593377034
