"year","inflation","rf_1y","severity_trend_factor","discount_factor","premium_cashflow","return_cashflow","expected_cost_cashflow","expected_net_revenue","pv_expected_net_revenue","horizon_bucket"
2181,0.0212188672223312,0.0476661523947707,1.02121886722233,0.954502536627899,26181038284.911,27428987645.6529,15708622970.9466,11720364674.7063,11187117812.2112,"short_term"
2182,0.0185319978553768,0.0479259363684886,1.04014409307957,0.910849234188877,26666225230.2585,27944229043.8317,15999735138.1551,11944493905.6766,10879633126.7592,"short_term"
2183,0.0158451284884223,0.0481857203422066,1.05662530988088,0.868976953713419,27088754995.3332,28394046167.9569,16253252997.1999,12140793170.7569,10550069465.1891,"short_term"
2184,0.0131582591214679,0.0484455043159245,1.0705286595026,0.828824149787735,27445195852.8397,28774792206.9799,16467117511.7038,12307674695.276,10200898015.1762,"long_term"
2185,0.0104713897545134,0.0487052882896425,1.08173858233963,0.79033085752765,27732585195.5038,29083308752.4679,16639551117.3023,12443757635.1656,9834685642.66667,"long_term"
2186,0.00778452038755896,0.0489650722633604,1.09015939838786,0.75343867820341,27948470070.3579,29316968927.0033,16769082042.2147,12547886884.7886,9454063308.72102,"long_term"
2187,0.0050976510206045,0.0492248562370783,1.09571665055767,0.718090763600025,28090941617.3364,29473714180.0139,16854564970.4018,12619149209.6121,9061694491.913,"long_term"
2188,0.00241078165365004,0.0494846402107963,1.09835818415644,0.684231799196024,28158662744.0212,29552084038.7263,16895197646.4127,12656886392.3135,8660244148.43236,"long_term"
2189,-0.000276087713304417,0.0497444241845142,1.09805494095698,0.651807986241569,28150888483.2145,29551238221.0945,16890533089.9287,12660705131.1658,8252348715.94347,"long_term"
2190,-0.00296295708025887,0.0500042081582322,1.09480145129516,0.620767022814964,28067478608.8676,29470970651.7021,16840487165.3205,12630483486.3816,7840587630.55466,"long_term"
