"scenario","horizon","annual_technical_premium","expected_value","variance","sd","p95","p99","tail_mean_99","min","max","stream","p05","p01","downside_tail_mean_01"
"Best_Case","short_term_3y",15254044240.186,36703566911.5187,2.25201732945905e+21,47455424657.8729,131834580103.474,219594725125.506,280655718273.167,391.045666863842,532534585443.179,"costs",NA,NA,NA
"Best_Case","short_term_3y",15254044240.186,49842560109.4494,759240682031312640,871344181.154217,51285116497.2047,51899403403.4679,52215502209.721,46361004492.4075,53713082434.3941,"returns",NA,NA,NA
"Best_Case","short_term_3y",15254044240.186,13138993197.9307,2.25291687016825e+21,47464901455.3728,NA,NA,NA,-482207623943.293,52470291272.9225,"net_revenue",-82004278790.6,-169418573715.977,-230903146139.156
"Best_Case","long_term_10y",15254044240.186,126512964095.091,2.67562500927674e+22,163573378313.121,454418600222.964,756917703455.021,967387907953.763,1347.88933540844,1835585327441.93,"costs",NA,NA,NA
"Best_Case","long_term_10y",15254044240.186,171950178715.507,2704054269968789504,1644400884.81148,174668058767.095,175826862614.534,176397039427.093,164662028126.23,178967491476.615,"returns",NA,NA,NA
"Best_Case","long_term_10y",15254044240.186,45437214620.4159,2.67630889237232e+22,163594281451.777,NA,NA,NA,-1663787219902.43,177184005145.342,"net_revenue",-282627995140.526,-584685677145.352,-795569098055.219
"Moderate_Case","short_term_3y",19939927111.3542,48199668359.296,3.86902553725076e+21,62201491439.1187,173227289299.494,290899444192.071,366165491823.663,427.462920768838,919008587302.394,"costs",NA,NA,NA
"Moderate_Case","short_term_3y",19939927111.3542,65150393772.4684,1316130079814009600,1147227126.51594,67042529509.4878,67856424443.2368,68264730934.6084,60434280052.9392,69768402448.0143,"returns",NA,NA,NA
"Moderate_Case","short_term_3y",19939927111.3542,16950725413.1724,3.87111319783339e+21,62218270611.0785,NA,NA,NA,-853279056784.359,69077171834.7818,"net_revenue",-108136174909.106,-225631437829.746,-301015430426.599
"Moderate_Case","long_term_10y",19939927111.3542,166138700558.315,4.59679477310462e+22,214401370637.051,597094497226.073,1002696850338.1,1262130240137.78,1473.41541157513,3167716660583.74,"costs",NA,NA,NA
"Moderate_Case","long_term_10y",19939927111.3542,224780869394.085,4692381725129629696,2166190602.21616,228358535637.562,229831464840.924,230610518272.905,215897278639.518,233876893376.9,"returns",NA,NA,NA
"Moderate_Case","long_term_10y",19939927111.3542,58642168835.7694,4.59708115847839e+22,214408049253.716,NA,NA,NA,-2942838434631.54,232474707099.158,"net_revenue",-372464464013.435,-778587233610.181,-1037232831113.69
"Worst_Case","short_term_3y",41873846933.8439,113712983984.806,4.30981514581314e+22,207600942816.095,388684531851.853,743977363112.858,1463988615449.34,4502.45221868294,11488317931488.8,"costs",NA,NA,NA
"Worst_Case","short_term_3y",41873846933.8439,136828782920.769,5774371554672119808,2402992208.61661,140827433161.461,142525690181.631,143353433222.823,127086271890.884,148445169349.365,"returns",NA,NA,NA
"Worst_Case","short_term_3y",41873846933.8439,23115798935.9632,4.30997749372429e+22,207604852874.982,NA,NA,NA,-11353195251424.6,144335122528.061,"net_revenue",-251874072891.222,-603951435905.117,-1327155667431.35
"Worst_Case","long_term_10y",41873846933.8439,391955547391.241,5.12049753732005e+23,715576518432.519,1339750775204.86,2564404207742.51,5046199994361.81,15519.4337720711,39598907579832.5,"costs",NA,NA,NA
"Worst_Case","long_term_10y",41873846933.8439,472033431553.141,20510675108786397184,4528871284.19283,479525727301.197,482572078262.805,484112108621.591,452707423591.937,491360090761.099,"returns",NA,NA,NA
"Worst_Case","long_term_10y",41873846933.8439,80077884161.8999,5.1207384438307e+23,715593351270.867,NA,NA,NA,-39125331948715,487593749009.604,"net_revenue",-868841710095.883,-2082947268077.26,-4574239219866.37
