"year","inflation","risk_free_rate","premium_forecast","loss_forecast","operating_expenses","operating_income","net_income","discount_factor","pv_premium","pv_loss","pv_expense","pv_net_income"
2175,0.0228254284552976,0.0485268733930731,4518796543.93655,2712755519.205,1355638963.18097,1316059485.12074,975192082.975185,0.953718998888375,4309662116.06342,2587206478.0051,1292898634.81903,930059217.098963
2176,0.0236732612812875,0.0419596930992494,4625771195.19814,2776975289.40339,1387731358.55944,1347214905.17372,998278059.954899,0.915312756534366,4234027383.77408,2541800906.97163,1270208215.13222,913736642.845097
2177,0.0249543363269003,0.0381027594852274,4741204245.3744,2846272864.74665,1422361273.61232,1380833759.02203,1023189426.41078,0.881716909208727,4180399953.15882,2509606913.06909,1254119985.94764,902163418.589963
2178,0.0256851414282989,0.0358375655606807,4862982746.9573,2919379785.8212,1458894824.08719,1416300669.41148,1049470191.53608,0.851211559151622,4139427126.16496,2485009819.24459,1241828137.84949,893321158.020578
2179,0.0257146433133142,0.0345072072944276,4988032613.7341,2994450595.70969,1496409784.12023,1452720335.94981,1076456943.17939,0.822818394255383,4104244985.72618,2463889030.83893,1231273495.71785,885728573.471921
2180,0.0253859249159053,0.0337258820853986,5114658435.14444,3070467493.69677,1534397530.54333,1489598985.32204,1103783798.31414,0.795973486312891,4071132505.92156,2444010715.56822,1221339751.77647,878582638.079793
2181,0.0250783826753864,0.0332670063842059,5242925796.63489,3147469852.49603,1572877738.99047,1526955718.70881,1131464910.79916,0.770346368745776,4038868849.04124,2424641971.60712,1211660654.71237,871619885.397393
2182,0.0249637566217732,0.032997506684578,5373808920.2081,3226042523.86811,1612142676.06243,1565074269.64288,1159710525.45842,0.745738846183874,4007458063.7686,2405785229.48952,1202237419.13058,864841189.162658
2183,0.0250109201256675,0.0328392283361914,5508212825.88202,3306728815.75458,1652463847.76461,1604218217.19166,1188715952.77956,0.722028003705078,3977083910.6543,2387550805.63334,1193125173.19629,858286206.357805
2184,0.0251086756228007,0.0327462707722216,5646516754.98845,3389756396.96193,1693955026.49653,1644498012.03531,1218563036.04555,0.699133973309041,3947671694.27115,2369893858.35773,1184301508.28134,851938817.118054
