"year","inflation","risk_free_rate","premium_forecast","loss_forecast","operating_expenses","operating_income","net_income","discount_factor","pv_premium","pv_loss","pv_expense","pv_net_income"
2175,0.0228254284552976,0.0485268733930731,704778949390.101,422867369634.06,211433684817.03,205260629072.326,152096879115.973,0.953718998888375,672161074049.928,403296644429.956,201648322214.978,145057683284.532
2176,0.0236732612812875,0.0419596930992494,721463365604.564,432878019362.738,216439009681.369,210119817575.117,155697508275.354,0.915312756534366,660364621910.074,396218773146.044,198109386573.022,142511915485.046
2177,0.0249543363269003,0.0381027594852274,739467005077.397,443680203046.438,221840101523.219,215363218171.833,159582836262.117,0.881716909208727,652000562178.677,391200337307.206,195600168653.603,140706885151.797
2178,0.0256851414282989,0.0358375655606807,758460319684.371,455076191810.622,227538095905.311,220894852889.03,163681743981.039,0.851211559151622,645610191273.171,387366114763.903,193683057381.951,139327792498.757
2179,0.0257146433133142,0.0345072072944276,777963856272.357,466778313763.414,233389156881.707,226575085240.818,167890761644.413,0.822818394255383,640122971006.747,384073782604.048,192036891302.024,138143606906.569
2180,0.0253859249159053,0.0337258820853986,797713188314.975,478627912988.985,239313956494.493,232326903342.557,172152823913.592,0.795973486312891,634958547580.843,380975128548.505,190487564274.253,137029083429.111
2181,0.0250783826753864,0.0332670063842059,817718544916.741,490631126950.044,245315563475.022,238153286330.369,176470138310.345,0.770346368745776,629926511732.69,377955907039.614,188977953519.807,135943130239.439
2182,0.0249637566217732,0.032997506684578,838131871657.153,502879122994.291,251439561497.146,244098487008.996,180875495894.135,0.745738846183874,625027494919.536,375016496951.721,187508248475.861,134885883611.028
2183,0.0250109201256675,0.0328392283361914,859094320953.946,515456592572.367,257728296286.184,250203614770.374,185399358474.634,0.722028003705078,620290157552.747,372174094531.648,186087047265.824,133863528687.642
2184,0.0251086756228007,0.0327462707722216,880665041588.169,528399024952.901,264199512476.451,256485896173.295,190054490827.249,0.699133973309041,615702849679.908,369421709807.945,184710854903.973,132873551317.281
