"year","inflation","risk_free_rate","premium_forecast","loss_forecast","operating_expenses","operating_income","net_income","discount_factor","pv_premium","pv_loss","pv_expense","pv_net_income"
2175,0.0228254284552976,0.0485268733930731,26222225774.1921,15733335464.5152,7866667732.25762,7636991091.66785,5658964001.66384,0.953718998888375,25008634913.9874,15005180948.3924,7502590474.19622,5397061482.4122
2176,0.0236732612812875,0.0419596930992494,26842991376.3214,16105794825.7928,8052897412.89643,7817783577.18376,5792930135.05663,0.915312756534366,24569732430.289,14741839458.1734,7370919729.08669,5302342850.32968
2177,0.0249543363269003,0.0381027594852274,27512840411.1462,16507704246.6877,8253852123.34387,8012871177.89973,5937488861.96507,0.881716909208727,24258536610.8688,14555121966.5213,7277560983.26065,5235184327.83309
2178,0.0256851414282989,0.0358375655606807,28219511608.2008,16931706964.9204,8465853482.46023,8218682907.35082,6089994103.11359,0.851211559151622,24020774474.5139,14412464684.7083,7206232342.35416,5183873375.73551
2179,0.0257146433133142,0.0345072072944276,28945166283.6816,17367099770.2089,8683549885.10447,8430023406.81858,6246596129.25535,0.822818394255383,23816615242.9939,14289969145.7963,7144984572.89818,5139814196.63578
2180,0.0253859249159053,0.0337258820853986,29679966101.6375,17807979660.9825,8903989830.49125,8644027348.0634,6405171749.57261,0.795973486312891,23624466091.5688,14174679654.9413,7087339827.47065,5098346887.94015
2181,0.0250783826753864,0.0332670063842059,30424291649.3269,18254574989.5961,9127287494.79806,8860805573.75464,6565803097.80996,0.770346368745776,23437242593.7214,14062345556.2328,7031172778.11641,5057942574.29767
2182,0.0249637566217732,0.032997506684578,31183796261.4505,18710277756.8703,9355138878.43515,9082004567.5707,6729710208.37018,0.745738846183874,23254968243.6471,13952980946.1882,6976490473.09413,5018606325.94181
2183,0.0250109201256675,0.0328392283361914,31963731698.9607,19178239019.3764,9589119509.68822,9309153858.39116,6898026452.86061,0.722028003705078,23078709389.5653,13847225633.7392,6923612816.8696,4980568269.26377
2184,0.0251086756228007,0.0327462707722216,32766298669.8842,19659779201.9305,9829889600.96525,9542894382.94425,7071226761.50299,0.699133973309041,22908032579.7069,13744819547.8241,6872409773.91206,4943734861.93881
