"year","inflation","risk_free_rate","premium_forecast","loss_forecast","operating_expenses","operating_income","net_income","discount_factor","pv_premium","pv_loss","pv_expense","pv_net_income"
2175,0.0228254284552976,0.0485268733930731,430356078.184469,259614492.988721,129106823.455341,125337397.505539,92874250.0852094,0.953718998888375,410438768.051619,247599274.350116,123131630.415486,88575936.8137746
2176,0.0236732612812875,0.0419596930992494,440544010.06732,265760414.713652,132163203.020196,128304542.465004,95072886.4737802,0.915312756534366,403235552.229422,243253897.769269,120970665.668827,87021425.7899946
2177,0.0249543363269003,0.0381027594852274,451537493.461341,272392289.484793,135461248.038402,131506297.169945,97445367.2584162,0.881716909208727,398128243.12659,240172887.576821,119438472.937977,85919228.0358
2178,0.0256851414282989,0.0358375655606807,463135297.841075,279388723.964188,138940589.352323,134884055.011467,99948265.2979811,0.851211559151622,394226118.973453,237818911.334939,118267835.692036,85077118.7387945
2179,0.0257146433133142,0.0345072072944276,475044656.830864,286573105.346689,142513397.049259,138352550.37474,102518399.289903,0.822818394255383,390875481.733171,235797622.378142,117262644.519951,84354024.6853504
2180,0.0253859249159053,0.0337258820853986,487104104.820874,293848028.681938,146131231.446262,141864757.830477,105120923.676775,0.795973486312891,387721952.511591,233895239.836133,116316585.753477,83673468.1034343
2181,0.0250783826753864,0.0332670063842059,499319887.964324,301217261.993632,149795966.389297,145422496.515501,107757186.427932,0.770346368745776,384649262.535864,232041623.980339,115394778.760759,83010357.2710188
2182,0.0249637566217732,0.032997506684578,511784788.123876,308736776.412318,153535436.437163,149052788.325845,110447210.604166,0.745738846183874,381657797.389958,230237007.41625,114497339.216987,82364775.4001778
2183,0.0250109201256675,0.0328392283361914,524584996.581174,316458567.267022,157375498.974352,152780735.70917,113209596.966689,0.722028003705078,378765057.85514,228491947.579177,113629517.356542,81740499.2981151
2184,0.0251086756228007,0.0327462707722216,537756631.096919,324404422.780586,161326989.329076,156616857.643505,116052140.014314,0.699133973309041,375963930.172073,226802153.057617,112789179.051622,81135993.7592244
