department,occupation,occupation_model,loading_source,employees,premium_per_employee,total_premium,pure_premium_per_employee,total_pure_premium,occ_premium_loading,employment_mix_premium_loading,salary_loading,other_loading
Extraction Operations,Maintenance,Maintenance Staff,model,10316,486.2012927,5015652.535,375.0695686,3869217.67,1.943619,1.091805425,1.000032472,1.019015654
Extraction Operations,Drilling operators,Drill Operator,model,2526,842.7455864,2128775.351,650.1180238,1642198.128,3.416825,1.076502667,1.000029974,1.019015654
Extraction Operations,Freight operators,NA,department_average,3553,587.8106304,2088491.17,453.4539149,1611121.76,2.34984692,1.091790281,1.000029974,1.019015654
Extraction Operations,Engineers,Engineer,model,2684,742.4953554,1992857.534,572.7821313,1537347.24,2.907023,1.114754,1.000047459,1.019015654
Spacecraft Operations,Navigation officers,NA,department_average,2842,496.4256805,1410841.784,382.9569535,1088363.662,1.943619,1.114754,1.000042463,1.019015654
Spacecraft Operations,Security personel,NA,department_average,2132,479.376305,1022030.282,369.8045782,788423.3606,1.943619,1.076484725,1.000027476,1.019015654
Spacecraft Operations,Galleyhand,NA,department_average,2132,445.3130655,949407.4556,343.527222,732400.0372,1.943619,1,1.000019982,1.019015654
Environmental & Safety,Safety Officer,Safety Officer,model,2132,434.5492483,926458.9974,335.2237058,714696.9408,1.701363,1.114754,1.000039965,1.019015654
Environmental & Safety,Medical Personel,NA,department_average,1421,425.6195799,604805.423,328.3351045,466564.1835,1.701363,1.091819351,1.000064944,1.019015654
Spacecraft Operations,Maintenance,Maintenance Staff,model,1137,496.4207207,564430.3594,382.9531274,435417.7059,1.943619,1.114754,1.000032472,1.019015654
Exploration Operations,Field technician,NA,department_average,842,622.2180945,523907.6356,479.9968158,404157.3189,2.568356,1.057377,1.000027476,1.019015654
Extraction Operations,Robotics technician,NA,department_average,711,600.1785994,426726.9842,462.9949195,329189.3878,2.34984692,1.114754,1.000037467,1.019015654
Environmental & Safety,Environmental Scientists,NA,department_average,711,425.6237409,302618.4798,328.3383144,233448.5416,1.701363,1.09183548,1.000059948,1.019015654
Administration,IT,NA,overall_average,568,502.0287816,285152.348,387.2793458,219974.6684,2.017476727,1.0860655,1.000042463,1.019015654
Spacecraft Operations,Steward,NA,department_average,568,496.4207207,281966.9694,382.9531274,217517.3764,1.943619,1.114754,1.000032472,1.019015654
Administration,HR,NA,overall_average,426,515.2886217,219512.9529,397.5083653,169338.5636,2.017476727,1.114754,1.000039965,1.019015654
Administration,Finance & Accounting,NA,overall_average,426,511.8072504,218029.8887,394.822736,168194.4855,2.017476727,1.107211484,1.000049957,1.019015654
Exploration Operations,Scientist,Scientist,model,211,642.561213,135580.4159,495.6900786,104590.6066,2.568356,1.091911972,1.000059948,1.019015654
Exploration Operations,Geoligist,NA,department_average,152,656.0031405,99712.47735,506.0595655,76921.05395,2.568356,1.114754,1.000059948,1.019015654
Administration,Legal,NA,overall_average,142,494.0035643,70148.50612,381.0884639,54114.56187,2.017476727,1.068690775,1.000054952,1.019015654
Management,Director,NA,department_average,111,358.0585964,39744.5042,276.2166315,30660.04609,1.401835,1.114754,1.000074936,1.019015654
Management,Vice President,NA,department_average,54,358.0764838,19336.13012,276.2304303,14916.44324,1.401835,1.114754,1.000124896,1.019015654
Management,Executive,Executive,model,12,358.1212062,4297.454474,276.2649305,3315.179166,1.401835,1.114754,1.000249808,1.019015654
