"year","inflation.Year","inflation.Forecast","rf_1y","severity_trend_factor.Year","severity_trend_factor.Forecast","discount_factor","trended_pure_premium.Year","trended_pure_premium.Forecast","trended_technical_premium.Year","trended_technical_premium.Forecast","pv_trended_technical_premium.Year","pv_trended_technical_premium.Forecast"
2175,2181,0.0212188672223312,0.0476661523947709,2182,1.02121886722233,0.954502536627899,17110221599364.1,8007919853.174,22179916888064.6,10380636846.707,21170786931853.6,9908344201.9949
2176,2182,0.0185319978553766,0.0479259363684891,4763306,1.04014409307957,0.910849234188876,37351613751411800,8156322606.71904,48418758566644928,10573010786.4876,44102189160804608,9630418777.943
2177,2183,0.0158451284884221,0.0481857203422073,10403060304,1.05662530988088,0.868976953713418,81575924433083367424,8285560586.41553,1.05746568709553e+20,10740541500.909,91891331142873563136,9333283034.69246
2178,2184,0.0131582591214675,0.0484455043159255,22730686764240,1.0705286595026,0.828824149787733,1.78243394886287e+23,8394584139.5782,2.31056252630372e+23,10881868329.0829,1.91505002139508e+23,9019155265.95415
2179,2185,0.010471389754513,0.0487052882896437,49689281266628640,1.08173858233963,0.790330857527648,3.89640061221424e+26,8482487101.93078,5.05088968249994e+26,10995816613.614,3.99187397404772e+26,8690333173.45428
2180,2186,0.00778452038755845,0.0489650722633618,1.08670458130117e+20,1.09015939838786,0.753438678203406,8.52142813891254e+29,8548519195.71296,1.10462957356274e+30,11081413772.2205,8.322706458095e+29,8349165745.16683
2181,2187,0.00509765102060391,0.04922485623708,2.37770962388696e+23,1.09571665055767,0.71809076360002,1.86448847679406e+33,8592096563.31564,2.41692950695527e+33,11137902952.4462,1.73557475521693e+33,7998025236.02501
2182,2188,0.00241078165364937,0.0494846402107982,5.20480636668855e+26,1.09835818415643,0.684231799196018,4.0813652757022e+36,8612810232.07686,5.29065869072508e+36,11164754004.5441,3.62003691488687e+36,7639279720.11014
2183,2189,-0.00027608771330517,0.0497444241845164,1.13985259430479e+30,1.09805494095698,0.651807986241562,8.93818995378783e+39,8610432340.99476,1.15865425326879e+40,11161671553.1414,7.55220095573352e+39,7275266658.14279
2184,2190,-0.00296295708025971,0.0500042081582345,2.4974170341218e+33,1.09480145129516,0.620767022814955,1.95835741887491e+43,8584919999.52591,2.53861146891192e+43,11128599999.3854,1.57588628364036e+43,6908267889.71701
